datetime,elec_value
2021-04-24 10:00:00,322.991
2021-04-24 11:00:00,340.598
2021-04-24 12:00:00,329.572
2021-04-24 13:00:00,340.525
2021-04-24 14:00:00,342.244
2021-04-24 15:00:00,338.936
2021-04-24 16:00:00,334.607
2021-04-24 17:00:00,341.685
2021-04-24 18:00:00,345.295
2021-04-24 19:00:00,352.935
2021-04-24 20:00:00,353.94
2021-04-24 21:00:00,360.06
2021-04-24 22:00:00,361.962
2021-04-24 23:00:00,350.598
2021-04-25 00:00:00,347.136
2021-04-25 01:00:00,345.275
2021-04-25 02:00:00,356.586
